jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Federal,US-FED,Federal FOIA,Citation not found,See statute,Response Timeline,: 20 working days from receipt of request,: 20 working days from receipt of request,No specific conditions stated,Extracted from Standard Timeline,2025-09-26T13:52:18.281412
Federal,US-FED,Federal FOIA,Citation not found,See statute,Response Timeline,": Additional 10 working days for ""unusual circumstances""",": Additional 10 working days for ""unusual circumstances""",No specific conditions stated,Extracted from Standard Timeline,2025-09-26T13:52:18.281425
Federal,US-FED,Federal FOIA,Citation not found,See statute,Response Timeline,: Extended processing for voluminous or complex requests,: Extended processing for voluminous or complex requests,No specific conditions stated,Extracted from Standard Timeline,2025-09-26T13:52:18.281432
Federal,US-FED,Federal FOIA,Citation not found,See statute,Special Access,: Agency must respond to expedited request within 10 calendar days,: Agency must respond to expedited request within 10 calendar days,: Agency must respond to expedited request within 10 calendar days,Extracted from Expedited Processing,2025-09-26T13:52:18.281454
Federal,US-FED,Federal FOIA,Citation not found,See statute,Special Access,: Denial of expedited processing can be appealed,: Denial of expedited processing can be appealed,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.281460
Federal,US-FED,Federal FOIA,Citation not found,See statute,Fee Structure,: Time spent looking for records,: Time spent looking for records,No specific conditions stated,Extracted from Allowable Fees,2025-09-26T13:52:18.281476
Federal,US-FED,Federal FOIA,Citation not found,See statute,Fee Structure,: Time spent examining records for exemptions (commercial only),: Time spent examining records for exemptions (commercial only),: Time spent examining records for exemptions (commercial only),Extracted from Allowable Fees,2025-09-26T13:52:18.281481
Federal,US-FED,Federal FOIA,Citation not found,See statute,Fee Structure,: Technical costs for electronic records,: Technical costs for electronic records,No specific conditions stated,Extracted from Allowable Fees,2025-09-26T13:52:18.281488
Federal,US-FED,Federal FOIA,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate agenc","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate agency
- Include reasonable description of records
- Specify fee category and waiver request if applicable
- Provide contact information","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate agency
- Include reasonable description of records
- Specify fee category and waiver request if applicable
- Provide contact information",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.281519
Federal,US-FED,Federal FOIA,Citation not found,See statute,Request Process,"**Agency Actions:**
- Log request with tracking number
- Determine fee category
- Send acknowledgmen","**Agency Actions:**
- Log request with tracking number
- Determine fee category
- Send acknowledgment within 10 days (best practice)",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.281520
Federal,US-FED,Federal FOIA,Citation not found,See statute,Request Process,"### Phase 2: Processing
**Agency Actions:**
- Search for responsive records
- Review records for exe","### Phase 2: Processing
**Agency Actions:**
- Search for responsive records
- Review records for exemptions
- Consult with originating agencies if needed
- Calculate fees","### Phase 2: Processing
**Agency Actions:**
- Search for responsive records
- Review records for exemptions
- Consult with originating agencies if needed
- Calculate fees",Extracted from Phase 2: Processing,2025-09-26T13:52:18.281539
Federal,US-FED,Federal FOIA,Citation not found,See statute,Request Process,"**Timeline Management:**
- Track 20-day deadline
- Request extension if needed
- Provide interim res","**Timeline Management:**
- Track 20-day deadline
- Request extension if needed
- Provide interim responses for complex requests","**Timeline Management:**
- Track 20-day deadline
- Request extension if needed
- Provide interim responses for complex requests",Extracted from Phase 2: Processing,2025-09-26T13:52:18.281540
